"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"aatka",294.46662353514,3.38435340047345,0.482151038681458,7.01928053443308,2.23013611773386e-12,1.79067470142565e-11
"aatkb",99.8935778351223,1.47782331437101,0.690666181157718,2.13970707512251,0.0323784469208522,0.060341879647496
"abat",305.086974037832,0.468820069099384,0.366029425108341,1.28082617664036,0.200254727444998,0.285229285381599
"abca12",249.093633493311,7.04911261783646,1.01344346559724,6.95560517890585,3.51051753689313e-12,2.75334708775932e-11
"abca1b",641.157633829748,-2.71380448258989,0.559352305486422,-4.85169088599701,1.22413311839505e-06,5.02294321105849e-06
"abca3b",753.271939287103,-0.559694845717148,0.398281494053764,-1.40527454595115,0.159939654387771,0.236757645426911
"abca5",2064.5231620245,2.39133541933987,0.264633450422131,9.03640645400391,1.61906804614882e-19,2.42254570496082e-18
"abca7",998.730321253505,6.2395959116508,0.755842813459403,8.25515014569353,1.51711395621947e-16,1.79451626166916e-15
"abcb10",189.646918601188,-0.191266029073831,0.487408420425876,-0.392414289656119,0.694752129426754,0.762660710160641
"abcb11a",47.8351546900816,2.47535247205605,0.590424053314179,4.1924993708528,2.75897847743456e-05,9.23668297334496e-05
"abcb4",205.686013310569,3.77904844381724,0.723293405665513,5.22477934157312,1.74362914387645e-07,7.96026240308821e-07
"abcb6a",1613.79047744638,-1.35814942487598,0.309590715160516,-4.38691911083899,1.14967520598726e-05,4.05946813942831e-05
"abcb7",833.288857745778,1.43323905951026,0.366786127354889,3.90756070805127,9.32326202767314e-05,0.00028617296185494
"abcb8",278.827087007414,0.011089261114121,0.363862175107272,0.0304765426932648,0.975687000908547,0.980923616621563
"abcb9",417.995845194709,-0.542127039481016,0.343953523551018,-1.57616364526239,0.114988094440427,0.179926604940034
"abcc10",1286.56311947345,0.995399540696914,0.392287057674867,2.53742641064114,0.0111670843082585,0.0232839214372145
"abcc12",49.5237884769673,1.05217689156973,0.95703043598172,1.09941842182941,0.271585599090232,0.364299931710573
"abcc1",147.677760284171,2.28545325396063,1.05639140971345,2.16345308466733,0.0305063484295801,0.0572889172386481
"abcc2",68.805391336532,2.531693278747,0.526834199615089,4.80548392757472,1.54377640221421e-06,6.2448396516334e-06
"abcc3",181.232158558619,2.29652353017997,0.57971121369508,3.96149578605169,7.44816968285985e-05,0.00023275530258937
"abcc4",1250.72670742809,3.26374671724463,0.343660224969275,9.4970161808409,2.15990490238632e-21,3.6479745008636e-20
"abcc6a",99.0398313857997,4.79318502527873,0.937439814767207,5.11305893964938,3.16983340062999e-07,1.3994849450905e-06
"abcc8",136.751162078993,-0.989995885701985,0.784626130752903,-1.26174218127558,0.207041573330902,0.293190804811285
"abcc9",78.9163593463743,2.35750173820284,0.976794022263017,2.41350958796925,0.0157997121827457,0.031899814283326
"abcd3a",1300.01341558764,0.300050587057826,0.351984417032869,0.8524541784752,0.393962060731527,0.490002563098915
"abcd4",478.668665989465,-0.098491716020874,0.305093737839504,-0.322824443131264,0.746828200361066,0.800417904207481
"abce1",2640.42925026338,-0.572509880388207,0.296935367497985,-1.92806227568056,0.0538473805550027,0.0944069788384882
"abcf1",2602.78854412564,0.0990179532109084,0.291363162307407,0.339843762082861,0.733974189816371,0.788804476277116
"abcf3",1167.45560249956,-1.05417885288041,0.355050524139885,-2.9690953292751,0.00298677921923084,0.00699666817580733
"abcg1",73.6627351941285,2.67659426955606,0.569650194019207,4.69866296484718,2.61870189475501e-06,1.02359683182606e-05
"abcg2a",19.7245780379337,-2.11997477504778,1.05965968806534,-2.00061849943381,0.0454335184267231,0.081422076033554
"abcg2b",60.5877471400194,2.26535725377263,0.66146694743186,3.42474746858911,0.00061537112356495,0.00163989639857415
"abcg2d",55.2540226908729,3.11679180719561,0.502841463156529,6.19835879807984,5.70549585937738e-10,3.52826335029779e-09
"abcg4a",26.6438653253385,2.62318572364498,0.840040792267847,3.12268850249903,0.00179207305368241,0.00437936597987759
"abcg5",10.2926580292865,0.804395350938472,1.01357461176114,0.793622237183697,0.427415382862009,0.52333907395991
"abcg8",0.564955110266223,-2.09627997901498,4.14315834674831,-0.505961829979348,0.61288344561466,0.690079071530372
"abch1",73.0609921114204,1.48410688529028,0.564989108503129,2.62678848663516,0.0086194893649306,0.0184209924094688
"abhd10b",2328.8517332819,-0.569523974577738,0.281520005077454,-2.0230319846046,0.0430698500117744,0.0777492591412249
"abhd11",135.192852361752,0.0930557267080067,0.67462402002449,0.137937167882977,0.890290075440049,0.915996335300138
"abhd13",1037.77819394552,-1.63583080575782,0.287122719354567,-5.69732276649881,1.21703391048831e-08,6.43933285972653e-08
"abhd14a",839.071301165323,-0.289930690512931,0.31045303563384,-0.933895492182868,0.350357804360214,0.447477952698341
"abhd14b",429.190585373264,-1.09150818867142,0.388004341346594,-2.8131339584585,0.00490612079554525,0.0110311878483311
"abhd15a",1085.0598874044,-4.12422468895257,0.248634621597529,-16.587491566756,8.5831010853737e-62,1.36420149701304e-59
"abhd16a",2075.48634924967,0.329754263001978,0.291606172677921,1.13082058577063,0.258130613647813,0.349454801869784
"abhd17ab",335.912645067411,1.67958746537232,0.3461703678245,4.85190998850551,1.22278120634253e-06,5.01825392479836e-06
"abhd17b",1833.98753056055,-3.43121047154798,0.455037675393486,-7.54049753920024,4.68181738287492e-14,4.41160648563008e-13
"abhd18",1356.93308314771,0.721557267649891,0.290651226236598,2.48255366747541,0.0130444416797008,0.0268243167091783
"abhd3",272.379211641784,1.02638234853087,0.509006804112615,2.01644131323593,0.0437538491476195,0.0788653683471925
"abhd4",253.285356472785,0.297313355938967,0.429619548538431,0.692038704827165,0.488913022884775,0.581923851876344
"abhd5a",848.673162935149,-1.98091236200521,0.273221849757952,-7.25019746319743,4.161644572139e-13,3.58247739351994e-12
