"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC125966601",43.2239126033568,-0.987506474568084,0.609158932476114,-1.62109824205328,0.104996570959517,0.323732784291984
"LOC125966602",168.567113954213,-1.45004976957406,0.41075701782391,-3.53018866787978,0.000415263427191442,0.00643939187513721
"LOC125966604",60.0776748831739,-1.19543326420843,0.47756264176807,-2.50319677389882,0.012307709443848,0.0820542159216973
"LOC125966605",221.064396887807,-1.48618797763174,0.35969040948629,-4.13185322275987,3.59850185826443e-05,0.0011011267903872
"LOC125966607",67.1966942630561,-1.04906153447765,0.541413723392992,-1.93763380784527,0.0526679147738777,0.20778870328654
"LOC125966608",247.031052827011,-1.40058404252748,0.374134410421474,-3.74353174558223,0.000181451665211739,0.00346221858512847
"LOC125966613",164.608833870601,-1.52785988434141,0.354804181916027,-4.30620596434517,1.66078432669143e-05,0.000685225913377942
"LOC125966615",44.524923173607,-1.23046679640181,0.606069199331468,-2.03024142747906,NA,NA
"LOC125966617",50.3759668923604,-1.6205468787668,0.535789692005621,-3.02459510316559,0.00248966183473797,0.0265575810030531
"LOC125966618",158.484821102995,-1.20136231019029,0.421756601989608,-2.84847303995466,0.00439295751832403,0.0408317557478013
"LOC125966620",230.176396122435,-1.47148657006147,0.373104000823856,-3.94390455961947,8.01655729998649e-05,0.00187914338636397
"LOC125966622",68.7105119503246,-1.12598302376994,0.519594436107677,-2.16704211116033,0.0302316432853583,0.145608257349195
"LOC125966623",223.604690075309,-1.65704352686998,0.344435848459616,-4.81089159064192,1.50258504630296e-06,0.000170248721061896
"LOC125966625",55.6440511079954,-1.03958713549643,0.534116389752288,-1.94636816140124,0.0516105312539982,0.205148075952809
"LOC125966626",4.93848052203686,0.759497678904431,0.792995233000912,0.957758189832091,0.338184706648172,NA
"LOC125966631",38.6057900275779,-1.3248728176371,0.863443597600418,-1.534405746153,NA,NA
"LOC125966635",110.962128502161,-0.477296418183269,0.325045208088499,-1.46840010652708,0.141995572680925,0.389475064253845
"LOC125966636",90.3433493118365,0.0225533591751292,0.177052236122952,0.127382515290387,0.898637654278221,0.962367218529976
"LOC125966637",78.0365956226882,-0.0384068357945131,0.340546673769054,-0.112779946928976,0.91020501692984,0.966630625069104
"LOC125966638",18.9324213609155,0.502516317747379,0.447828275074878,1.12211833355845,0.261812129711889,0.547121631884247
"LOC125966647",156.375299057954,-0.351286030525712,0.364722546855585,-0.963159622442556,0.335467424652125,0.623440214128772
"LOC125966648",101.495244520149,-0.314970483601351,0.401161783600959,-0.785145785259186,0.432368097894469,0.705200489838558
"LOC125966662",400.936525656093,0.373885902923394,0.196682898478514,1.90095786576095,0.0573075316827588,0.219198366821476
"LOC125966669",61.7034685722442,0.135007843973903,0.269990593024338,0.50004647369967,0.617042354275658,0.827013956594274
"LOC125966673",4.16018401458735,-0.399074667146541,0.875582976136333,-0.45578166549963,0.648546989662249,NA
"LOC125966678",1.14782908025142,0.0699667194896837,1.67662942603003,0.0417305806539213,0.966713475351642,NA
"LOC125966686",54.5937471183506,-0.966814602722454,0.332563668734931,-2.90715641428965,0.00364730773455559,0.035385533763247
"LOC125966692",18.2164359886396,0.0347139194017459,0.479259304759806,0.0724324370064005,0.942257771582164,0.97994989338818
"LOC125966695",11.0666626301344,0.0295102326206042,0.609259012734859,0.0484362676690457,0.961368555792656,0.986796681252387
"LOC125966698",12.5092955058743,0.0356744869133557,0.641934561505588,0.0555734011729873,0.955681654537279,0.984283155821302
"LOC125966700",155.620541056135,1.63498492846813,0.617289767851971,2.64865062344628,0.00808138282730396,0.0627887210075514
"LOC125966702",9.55375623513087,-1.01103899251439,0.667944281581757,-1.51365768132659,0.130112683356987,0.36960335634499
"LOC125966709",33.894250476395,-0.779896991861922,0.397924322280709,-1.95991284823187,0.0500059776297497,0.201190094747293
"LOC125966710",91.8839360295242,-0.710762233308901,0.277537056800812,-2.56096335927859,0.0104382364391393,0.0740387355883604
"LOC125966712",2.17995103400671,0.835258424039627,1.15093786333099,0.725719824371981,0.468010546155566,NA
"LOC125966715",13.3645524087078,-0.554346594320506,0.532459633659909,-1.04110538954879,0.297826638484943,0.587065154325744
"LOC125966723",6.30428407925046,-2.09872364859937,0.800811965571441,-2.62074461774778,0.00877379600208014,NA
"LOC125966724",10.960985992649,0.0358319089016304,0.537498805675142,0.0666641646889291,0.946849063257571,0.981419594726293
"LOC125966725",37.0365684663948,-1.02361124172566,0.340636382344183,-3.00499680827221,0.00265583636373885,0.0278517054837694
"LOC125966731",2.08635018564362,-2.55646279760796,1.62834457882558,-1.56997654602797,0.116420567828198,NA
"LOC125966733",151.564836255417,-0.0958369899433679,0.347567447265068,-0.275736380657878,0.782750550703126,0.910297230105976
"LOC125966734",1.2835401243273,-1.01655687290775,1.74273006752507,-0.583312867466279,0.559682701908063,NA
"LOC125966742",213.776979315398,0.154538089143992,0.28166094268348,0.548667087710688,0.583233936656672,0.807446314015025
"LOC125966744",156.36382079251,-0.0450987198341258,0.287202288045962,-0.15702771778374,0.875223003448369,0.954180629099961
"LOC125966747",52.1172317854882,0.0349533406742788,0.285497263297766,0.122429687313056,0.902558728279223,0.963600098066842
"LOC125966748",1.40454689425693,1.53038704415985,1.78859038502738,0.855638639775214,0.392197690113054,NA
"LOC125966749",2.41642787737664,1.70026499014734,0.987173253202377,1.72235723023461,0.0850048263643754,NA
"LOC125966751",14.411221119304,0.143113676522883,0.507628064268463,0.281926249938766,0.778000061074112,0.908815310035777
"LOC125966753",7.69955726382527,-0.712169417558514,0.601683468735912,-1.18362802796415,0.236560340459113,0.52017444201294
"LOC125966757",20.0312301047565,0.23247145895467,0.4392694764267,0.529222883515018,0.596650844111603,0.816388144763466
"LOC125966758",56.6174143138811,-0.0940579792523166,0.494771245898277,-0.190103972355044,0.849227657356211,0.942728735840455
"LOC125966759",21.0888993617159,-0.400936733464169,0.597078943239068,-0.671497023976669,0.50190395470123,0.755139037760807
"LOC125966760",282.38046776481,-0.389607878988291,0.3732068285746,-1.04394627632172,0.296510246212542,0.585632298086058
"LOC125966772",5.07119024561694,-0.654476598959041,0.801654989467495,-0.816406817842899,0.414267498510799,NA
"LOC125966773",85.6192957084912,-0.349070037284304,0.3234239293525,-1.07929564142996,0.280455955281958,0.567538653668079
"LOC125966782",2.28433861289731,0.33808769804447,1.60969719215838,0.210031861701356,0.833642805577994,NA
"LOC125966784",11.3425580832901,1.09783334431601,0.79203837910194,1.38608604492221,0.165720631048846,0.424776982238938
"LOC125966785",1.49441677490932,0.244656692610356,1.44199453989652,0.169665477809585,0.865273225097878,NA
"LOC125966786",2.10875980507505,0.313969825361449,1.02494329164921,0.306328972460757,0.759354181992651,NA
"LOC125966787",4.76835154516731,0.450280088749985,1.26130365972258,0.356995783909026,0.721094962012328,NA
"LOC125966788",13.0420539512701,-1.54539139275285,0.724442231371318,-2.1332154943915,0.0329070526495177,0.15367624524698
"LOC125966789",1.24309005813652,-0.00223956446186545,1.7205834237854,-0.00130163084852826,0.998961449135354,NA
"LOC125966799",2.56129516279516,-0.538717590427205,1.01555590606832,-0.530465715583132,0.595789073528383,NA
"LOC125966805",18.2936576248658,1.47904720414168,0.699453537820279,2.11457534227486,0.0344661570757032,0.157792526188058
"LOC125966806",0.894498840907143,-3.63983790858752,2.82231157413163,-1.28966551459062,0.197166817993547,NA
"LOC125966812",156.470853516329,-0.536551430371381,0.621141101029586,-0.863815692572924,0.387689145891227,0.66983694516766
"LOC125966813",1.42883607381298,-1.04244468944415,1.39435737867861,-0.747616576198017,0.454691463410182,NA
"LOC125966814",0.616878569278442,-0.367745712769711,3.08703132734411,-0.119126006112188,0.905175527546566,NA
"LOC125966822",26.3491501750624,1.06586042088607,0.602170971906357,1.77002956072718,0.0767222164402721,0.265753610596377
"LOC125966823",14.1313853248671,0.473497784809899,0.56550950501461,0.837294122576535,0.402427262146017,0.681099505116829
"LOC125966825",14.5141547621462,-0.663449634623502,0.442811865854872,-1.49826525841325,0.134064346579627,0.376604776370746
"LOC125966828",1368.36557624035,0.401336027786914,0.213982286522232,1.87555724499288,0.0607161019543211,0.22677591037296
"LOC125966829",3.00545795364987,-0.330667963497632,1.11061814916373,-0.297733261199286,0.765906755275995,NA
