Geneid,SSCF31.bam,SSCF32.bam,SSCF33.bam,SSCF38.bam,SSCF39.bam
akirin1,2376,3967,2232,4661,3437
akirin2,1593,2348,1355,1560,1678
akr1a1a,19,6,15,6,4
akr1b1.2,3860,3263,3398,2582,3523
akt1,708,800,559,622,685
akt1s1,1557,1431,1586,1562,1259
akt2,1768,2274,1556,1487,1689
akt3a,850,1124,750,685,824
akt3b,1048,1136,814,1108,1474
aktip,3179,3420,2615,2851,2644
alad,1053,1302,838,927,1541
alas1,7022,9252,4565,10053,9438
alas2,14,2,2,1,6
aldh16a1,204,246,170,189,246
aldh18a1,2911,2746,2199,2161,2393
aldh1a2,24,37,18,12,34
aldh3a2b,498,590,351,541,478
aldh3b1,640,445,459,505,463
aldh3b2,8657,7877,6522,6083,7158
aldh4a1,1551,1987,1022,1273,1726
aldh5a1,1403,1219,1356,1174,1683
aldh6a1,222,471,307,410,517
aldh7a1,3356,4829,2904,2722,2997
aldh8a1,2,6,0,0,3
aldh9a1a.1,475,976,404,570,797
aldh9a1b,192,294,119,283,223
aldoab,170,14,1,24,14
aldob,5020,6751,3892,4584,6224
aldoca,400,414,171,123,408
aldocb,3921,5667,2899,3961,5279
alg10,523,582,365,443,614
alg11,588,682,385,380,365
alg1,2005,236,2149,2000,258
alg12,138,2266,158,158,2222
alg13,1496,3553,1150,2624,3419
alg14,1552,1516,1270,1377,1197
alg2,230,435,295,257,183
alg3,947,817,718,831,1018
alg5,1108,1818,1233,1305,1653
alg6,591,506,463,530,512
alg8,376,575,277,457,349
alg9,4120,3007,2072,2688,3473
alk,252,368,203,134,172
alkal1,104,70,66,64,45
alkbh1,419,464,319,378,495
alkbh2,175,336,179,129,162
alkbh3,1541,1780,1341,1439,1895
alkbh4,861,2148,1200,1128,1563
alkbh5,2954,5580,2694,4214,3264
alkbh6,1407,1922,1230,1613,1825
alkbh7,270,652,351,454,414
alkbh8,1247,976,917,1103,1092
alms1,434,632,396,463,617
alp3,0,2,0,4,8
alpi.1,20,27,8,8,4
alpk1,26,24,14,13,22
alpk2,40,12,31,25,40
alpk3a,18,3,2,3,2
alpl,165,232,93,32,91
als2b,628,532,654,697,643
alx1,148,154,202,285,269
alx3,42,97,22,15,48
alx4b,0,2,0,0,0
alyref,6264,7532,4083,4964,6736
amacr,884,494,409,514,1002
ambp,2832,2682,2928,3008,2590
ambra1b,593,882,458,699,747
amd1,5561,5468,2582,4421,5772
amdhd1,6,11,4,0,8
amdhd2,1370,1326,787,1233,910
amer2,0,3,0,2,0
amh,172,174,153,67,230
amigo1,41,8,108,79,134
ammecr1,2407,2344,2134,2258,2233
amot,29,68,60,30,22
amotl2a,98,31,88,30,79
ampd1,0,4,0,8,0
ampd2b,9,0,6,5,9
ampd3a,204,27,50,45,116
ampd3b,101,81,90,157,336
amph,3968,4252,3042,3313,4491
amt,166,181,60,223,120
amy2a,0,0,0,0,0
anapc10,1224,1287,997,1066,1323
anapc11,2131,2300,2542,3076,3286
anapc1,1336,1660,1532,1460,1499
anapc13,1737,1641,1263,1165,1387
anapc15,1156,920,1476,909,731
anapc16,1574,1482,937,1393,2368
anapc2,692,751,605,713,738
anapc4,380,474,302,301,454
anapc5,2787,4551,2766,2578,2659
anapc7,2608,3087,2085,2191,2419
and1,11,44,10,95,18
and2,2,2,2,0,10
and3,0,0,0,0,0
angel1,1244,1408,1357,1224,1065
angel2,547,678,389,368,468
angpt1,74,63,24,30,64
angpt2a,1,0,2,0,0
angpt2b,0,0,0,0,0
angptl1a,13,5,6,18,6
angptl2b,0,2,0,4,0
angptl3,2,0,4,0,4
