Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
adcy7,1015,892,336,935,588,531,372
adcy8,40,16,34,87,28,52,35
adcy9,704,367,710,203,493,436,691
adcyap1a,6,8,11,4,6,9,13
adcyap1b,2,6,28,6,16,6,6
adcyap1r1b,92,143,107,139,124,158,136
add1,1132,1453,1946,862,1384,1191,1552
add2,185,832,325,163,173,187,203
add3a,1912,1562,2255,1481,2835,835,3247
add3b,1810,939,3028,781,2242,1642,2223
adgb,1178,717,2002,2585,985,2269,1095
adgra2,746,326,495,414,536,216,663
adgra3,299,97,351,121,243,199,320
adgrb1a,351,534,744,393,838,264,761
adgrb2,15,2,9,7,8,54,0
adgrb3,39,13,51,19,15,25,204
adgrd1,416,125,232,40,82,62,791
adgrd2,130,125,131,99,60,189,111
adgrf3b,6,6,4,1,6,6,11
adgrf8,1346,1159,5843,274,1502,43,109
adgrg1,1726,1967,3466,1475,2010,1573,3184
adgrg4a,110,77,227,82,107,50,28
adgrg6,476,419,1284,429,448,544,615
adgrl1a,1788,1507,9015,1559,2265,2562,3294
adgrl2a,149,46,138,72,102,519,163
adgrl3.1,573,658,1609,606,1139,472,1024
adgrl4,242,51,60,24,152,87,310
adgrv1,1949,3765,557,3192,2240,891,699
adhfe1,618,1056,1229,694,618,436,580
adi1,504,428,435,208,454,269,556
adipor1a,909,832,1788,869,911,879,883
adirf,2,12,8,9,11,8,0
adissp,408,395,1293,536,474,903,743
adm2a,22,2,7,0,16,0,20
adm2b,10,21,30,11,19,13,12
adma,377,391,390,88,209,72,208
admb,2,0,0,0,0,2,4
admp,2,8,22,10,2,34,21
adnp2b,950,572,2107,877,911,1459,1626
adnpa,667,409,1023,557,684,1069,1187
adnpb,703,169,649,535,449,670,817
adoa,690,461,841,739,758,1184,1350
adora1b,3,8,6,2,6,6,13
adora2aa,106,40,19,2,54,30,44
adora2ab,40,12,26,14,95,37,48
adora2b,114,1,19,24,9,0,15
adpgk2,485,451,1328,411,758,756,760
adpgk,448,410,1026,474,644,720,683
adprh,459,506,1293,958,1178,352,986
adprhl1,197,224,643,221,632,235,633
adprm,249,140,460,287,284,343,339
adprs,566,264,464,523,471,376,565
adra1aa,4,4,9,2,9,2,0
adra1d,305,209,403,71,508,134,673
adra2a,68,67,47,138,182,45,156
adra2b,46,17,38,17,26,27,29
adra2c,2,0,0,0,2,0,0
adra2db,0,0,0,2,2,2,6
adrb1,91,54,171,73,55,35,200
adrb2a,281,371,255,314,446,219,314
adrb3a,59,12,26,6,72,18,18
adsl,478,625,962,704,717,503,679
adss1,267,239,207,149,242,137,253
adssl,715,694,1254,946,1258,764,1173
aebp1a,1054,376,435,112,1256,141,898
aebp1b,5409,1302,608,187,2562,280,2313
afap1,1336,305,1435,374,868,803,733
afap1l1a,698,928,1375,601,712,754,1184
afap1l2,1630,1898,3132,902,1606,741,1633
afdna,2094,1420,5435,2121,2255,1739,2763
aff2,219,17,132,35,97,44,89
aff3,177,67,103,55,197,37,99
aff4,920,759,1486,656,684,1142,1542
afg1la,193,136,185,252,214,215,283
afg1lb,203,325,1046,282,259,544,380
afg2a,300,184,328,220,162,188,307
afg2b,484,473,745,485,420,889,569
afg3l1,493,290,728,1218,452,666,790
afg3l2,1539,1194,2373,2508,1506,757,1156
afmid,833,418,2474,1252,1010,2102,1183
aftpha,382,579,1206,851,446,505,692
aga,462,724,807,381,617,370,680
agap1,1057,525,1530,820,759,1525,1364
agap2,138,31,98,5,90,34,64
agap3,265,156,337,174,330,260,528
agbl2,255,113,461,258,116,283,152
