Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
kcnj12b,2,0,0,0,0,0,0
kcnj13,49,60,93,60,33,49,11
kcnj14,57,24,147,52,50,32,80
kcnj15,28,0,42,16,22,0,2
kcnj16a,2,0,82,14,4,0,0
kcnj19a,6,24,42,27,12,15,9
kcnj1a.1,0,6,0,0,0,0,4
kcnj2a,0,0,7,2,0,14,6
kcnj3a,368,138,305,614,251,336,346
kcnj5,183,399,357,107,384,236,603
kcnj6,73,133,52,98,110,124,91
kcnj8,56,101,34,206,53,62,66
kcnj9,43,22,60,49,44,113,113
kcnk10a,8,9,5,1,8,12,11
kcnk10b,206,181,373,216,192,180,473
kcnk12,969,1814,77,1458,518,372,127
kcnk12l,32,38,76,48,59,77,65
kcnk15,196,304,18,745,177,228,30
kcnk17,40,36,19,73,10,52,14
kcnk18,0,0,2,0,2,0,0
kcnk1b,105,66,256,68,134,201,182
kcnk2a,0,42,0,0,1,0,0
kcnk2b,0,2,5,0,5,2,0
kcnk3a,165,37,49,10,15,12,40
kcnk3b,25,24,38,14,39,5,16
kcnk4a,934,355,2136,141,322,147,870
kcnk5a,155,40,92,82,169,57,148
kcnk6,403,787,932,641,647,430,699
kcnk9,23,44,66,20,23,14,21
kcnma1a,91,8,34,41,60,43,124
kcnn1a,16,20,10,12,7,14,25
kcnn1b,65,273,205,172,62,84,107
kcnn2,245,134,749,166,223,665,391
kcnn3,283,229,656,351,240,746,918
kcnn4,272,565,146,107,560,158,151
kcnq1.1,229,215,441,269,294,426,465
kcnq1.2,337,587,671,595,398,878,673
kcnq3,94,53,326,180,91,187,210
kcnq5a,406,186,851,112,128,289,292
kcnt1b,552,105,399,317,705,260,668
kcnv2a,1,0,2,2,0,0,28
kcp,374,110,274,214,407,280,452
kctd10,1005,1100,1942,1001,1291,1226,1510
kctd12.1,26,168,66,159,65,112,188
kctd12b,80,37,227,23,163,24,74
kctd13,1489,80,54,49,322,40,73
kctd14,44,1624,674,1350,906,926,867
kctd16b,0,33,244,80,44,64,40
kctd17,2296,0,6,33,0,4,0
kctd1,99,1460,881,1269,989,804,926
kctd3,1314,1728,1480,1089,1384,1192,1331
kctd4,0,0,0,0,10,0,6
kctd6b,484,438,1164,666,656,596,634
kctd7,249,326,879,388,298,547,568
kctd9a,698,394,518,362,424,643,480
kdelr2a,1637,2776,933,1891,1933,1190,1573
kdelr3,340,370,609,243,1043,254,679
kdf1a,100,18,117,73,106,208,142
kdf1b,265,142,734,359,321,323,554
kdm1a,1308,307,849,847,711,782,1079
kdm2ab,5121,1692,3417,3620,3559,2889,3236
kdm2ba,2617,2301,1861,2163,1756,1551,1657
kdm3b,3217,1737,3324,3808,2706,3272,3195
kdm4aa,623,172,497,369,385,482,592
kdm4ab,1664,1447,1254,1337,1086,1752,1960
kdm4b,1277,1513,1541,1371,1241,1620,1169
kdm4c,1557,648,793,1285,1012,958,1079
kdm5a,1175,788,1562,1423,1124,892,1116
kdm5ba,5310,3497,7958,4416,4866,3785,5316
kdm5bb,1293,1204,2510,1740,1771,1321,1884
kdm5c,8128,1416,4819,4785,4925,4651,5201
kdm6a,1364,354,971,903,820,726,791
kdm6ba,2452,1049,843,1516,942,593,886
kdm6bb,2617,1802,1202,2751,796,1623,1097
kdm7aa,1486,1914,885,2359,613,1233,780
kdm8,240,372,529,294,280,496,379
kdr,164,29,250,21,181,142,207
kdrl,546,129,239,63,343,324,734
kdsr,2386,2001,3378,2921,2373,3859,3130
keap1a,603,217,859,348,409,277,384
keap1b,1492,775,1520,661,869,1299,1330
kel,133,74,57,42,117,60,96
kera,0,0,0,0,0,0,2
khdc4,878,853,2569,1712,1373,1519,1529
khdrbs1a,2533,2450,5887,3808,4505,3967,3928
khdrbs1b,2968,4669,3877,3567,3445,4006,3763
khdrbs2,578,1223,2133,1012,2229,515,1874
khdrbs3,6,0,27,2,3,5,33
khk,70,147,410,119,103,290,197
khnyn,1225,706,2032,821,1030,1106,1469
khsrp,1878,763,1701,1745,2348,1411,2816
kiaa0232,2959,2594,3378,3318,2409,3158,2793
kiaa0319l,552,363,967,544,798,802,383
kiaa0513,556,145,260,117,344,210,471
kiaa0586,862,7893,4531,1290,1445,1355,2908
kiaa0753,381,341,1061,633,387,521,548
kiaa0825,272,170,193,191,144,162,143
kiaa0895l,710,444,1499,736,741,1042,1125
kiaa0930,749,922,2561,1049,980,903,1307
kiaa1109,2186,800,3835,1465,2010,1868,2098
kiaa1143,1110,926,1345,1084,1193,1297,1194
kiaa1328,194,136,134,323,158,377,440
kiaa1522,798,1447,1664,1025,912,225,1060
kiaa1549la,103,225,66,315,93,114,538
kiaa1549lb,42,36,20,8,52,23,33
kiaa2013,2691,4271,1551,3406,2329,1356,1270
kics2,64,173,151,124,94,96,211
kidins220a,1684,707,1823,1267,1064,1565,1814
kidins220b,852,599,974,1421,327,1425,574
kif11,1391,750,2595,1467,1185,2035,1862
kif13a,1520,366,1813,635,1815,760,1232
kif13ba,1041,1076,1453,1395,752,969,963
kif14,779,143,602,475,483,693,805
kif15,846,432,1551,782,812,1251,1082
kif16ba,1333,2963,3949,1404,1108,1195,1112
kif16bb,44,4,38,45,16,74,695
kif17,75,65,173,121,41,97,71
kif18a,526,389,795,519,502,1021,1017
kif19,20,0,27,11,16,15,19
kif1aa,1200,871,753,625,438,906,555
kif1ab,986,278,2072,866,1117,1073,1149
kif1b,2101,1460,2856,2095,2512,1828,2388
kif1c,1677,676,2631,782,1354,1117,1614
kif20a,873,489,944,712,652,1308,1083
kif20bb,620,311,1691,667,408,1106,519
kif21a,1444,371,1479,1721,902,1951,1642
kif21b,699,421,298,821,705,563,490
kif22,708,869,2024,945,890,1578,1455
kif23,1159,518,1501,1687,1564,1993,1299
kif26ab,337,72,227,6,190,46,217
kif26ba,220,85,234,56,475,91,363
kif28,242,621,525,1152,408,350,42
kif2c,923,1114,1492,1254,677,1575,1352
kif3a,3122,1420,3681,4532,2317,3909,3335
kif4,1153,832,1759,1400,1272,1912,1536
kif5aa,301,20,38,108,103,140,120
kif5ab,16,6,51,1006,40,63,122
kif6,87,74,76,254,73,70,132
kif7,624,324,1289,452,697,997,1054
kifap3a,1740,1225,737,1673,1546,1303,1669
kifbp,830,1177,1971,1111,1231,984,1364
kifc1,552,260,615,461,395,812,775
kifc3,415,385,1319,645,381,618,666
kin,610,690,1424,930,857,962,1035
kirrel1a,1651,866,777,1510,1472,760,878
